words, bits, size, mux, frequencyx,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
8192, 32, 262144, 8, 500,319.9000,179.8300,0.9000,0.127978,2.803993,0.119288,3.219068,0.024281,0.019401,0.024959,1.273,0.024565,5.746,0.014029,0.203944,4.732533,33.82196,0.902866,30.63357,
8192, 32, 262144, 8, 200,319.9000,179.8300,0.9000,0.051191,1.121597,0.047715,1.287627,0.024281,0.019401,0.024959,1.273,0.024565,5.746,5.612,0.081578,4.732533,33.82196,0.902866,30.63357,
8192, 32, 262144, 16, 1000,161.9800,328.3100,0.9000,0.327581,9.41225,0.294054,10.234295,0.023699,0.019374,0.024378,1.281,0.023983,5.757,0.020611,0.254321,4.597005,60.93928,1.151943,57.786295,
8192, 32, 262144, 16, 500,161.9800,328.3100,0.9000,0.16379,4.706125,0.147027,5.117148,0.023699,0.019374,0.024378,1.281,0.023983,5.757,0.010306,0.127161,4.597005,60.93928,1.151943,57.786295,
8192, 32, 262144, 16, 200,161.9800,328.3100,0.9000,0.065516,1.88245,0.058811,2.046859,0.023699,0.019374,0.024378,1.281,0.023983,5.757,4.122,0.050864,4.597005,60.93928,1.151943,57.786295,
8192, 32, 262144, 32, 1000,97.4400,656.1200,0.9000,0.568551,18.517558,0.539967,19.247914,0.023775,0.024992,0.024456,1.641,0.024053,0.010244,0.021284,0.538156,6.876088,114.1399,2.233328,114.1399,
8192, 32, 262144, 32, 500,97.4400,656.1200,0.9000,0.284276,9.258779,0.269983,9.623957,0.023775,0.024992,0.024456,1.641,0.024053,0.010244,0.010642,0.269078,6.876088,114.1399,2.233328,114.1399,
8192, 32, 262144, 32, 200,97.4400,656.1200,0.9000,0.11371,3.703512,0.107993,3.849583,0.023775,0.024992,0.024456,1.641,0.024053,0.010244,4.257,0.107631,6.876088,114.1399,2.233328,114.1399,
16384, 16, 262144, 16, 1000,319.9000,179.8300,0.9000,0.218765,5.548187,0.207144,5.885308,0.024281,0.019209,0.024959,1.257,0.024565,5.554,0.023246,0.437537,4.732533,31.97314,0.902886,30.02635,
16384, 16, 262144, 16, 500,319.9000,179.8300,0.9000,0.109383,2.774094,0.103572,2.942654,0.024281,0.019209,0.024959,1.257,0.024565,5.554,0.011623,0.218769,4.732533,31.97314,0.902886,30.02635,
16384, 16, 262144, 16, 200,319.9000,179.8300,0.9000,0.043753,1.109637,0.041429,1.177062,0.024281,0.019209,0.024959,1.257,0.024565,5.554,4.649,0.087507,4.732533,31.97314,0.902886,30.02635,
16384, 16, 262144, 32, 1000,161.9800,328.3100,0.9000,0.296235,9.382065,0.28402,9.702734,0.023699,0.019091,0.024378,1.262,0.023983,5.474,0.020066,0.272346,3.97928,61.537285,1.124487,57.34349,
16384, 16, 262144, 32, 500,161.9800,328.3100,0.9000,0.148117,4.691032,0.14201,4.851367,0.023699,0.019091,0.024378,1.262,0.023983,5.474,0.010033,0.136173,3.97928,61.537285,1.124487,57.34349,
16384, 16, 262144, 32, 200,161.9800,328.3100,0.9000,0.059247,1.876413,0.056804,1.940547,0.023699,0.019091,0.024378,1.262,0.023983,5.474,4.013,0.054469,3.97928,61.537285,1.124487,57.34349,
32768, 8, 262144, 32, 1000,319.9000,179.8300,0.9000,0.197347,5.458898,0.191708,5.576216,0.024281,0.019067,0.024959,1.247,0.024565,5.413,0.02085,0.411024,4.734783,32.326802,0.902934,29.9148,
32768, 8, 262144, 32, 500,319.9000,179.8300,0.9000,0.098674,2.729449,0.095854,2.788108,0.024281,0.019067,0.024959,1.247,0.024565,5.413,0.010425,0.205512,4.734783,32.326802,0.902934,29.9148,
32768, 8, 262144, 32, 200,319.9000,179.8300,0.9000,0.039469,1.09178,0.038342,1.115243,0.024281,0.019067,0.024959,1.247,0.024565,5.413,4.170,0.082205,4.734783,32.326802,0.902934,29.9148,
4096, 128, 524288, 8, 1000,169.0000,656.1200,0.9000,0.783105,19.550202,0.672094,23.011122,0.047449,0.039992,0.048802,2.663,0.048014,0.012758,0.038471,0.774052,12.75259,126.0224,2.105385,117.0887,
4096, 128, 524288, 8, 500,169.0000,656.1200,0.9000,0.391552,9.775101,0.336047,11.505561,0.047449,0.039992,0.048802,2.663,0.048014,0.012758,0.019235,0.387026,12.75259,126.0224,2.105385,117.0887,
4096, 128, 524288, 8, 200,169.0000,656.1200,0.9000,0.156621,3.91004,0.134419,4.602224,0.047449,0.039992,0.048802,2.663,0.048014,0.012758,7.694,0.15481,12.75259,126.0224,2.105385,117.0887,
8192, 64, 524288, 8, 1000,319.9000,328.3100,0.9000,0.410764,9.95372,0.362738,11.711996,0.047372,0.036596,0.048722,2.409,0.047943,9.365,0.037626,0.436125,6.48218,65.010952,1.130583,58.84311,
8192, 64, 524288, 8, 500,319.9000,328.3100,0.9000,0.205382,4.97686,0.181369,5.855998,0.047372,0.036596,0.048722,2.409,0.047943,9.365,0.018813,0.218063,6.48218,65.010952,1.130583,58.84311,
8192, 64, 524288, 8, 200,319.9000,328.3100,0.9000,0.082153,1.990744,0.072548,2.342399,0.047372,0.036596,0.048722,2.409,0.047943,9.365,7.525,0.087225,6.48218,65.010952,1.130583,58.84311,
8192, 64, 524288, 16, 1000,169.0000,656.1200,0.9000,0.643017,19.115821,0.580886,20.613969,0.047449,0.039225,0.048802,2.597,0.048014,0.011991,0.027783,0.725076,8.752213,121.2015,2.185119,115.0808,
8192, 64, 524288, 16, 500,169.0000,656.1200,0.9000,0.321508,9.55791,0.290443,10.306984,0.047449,0.039225,0.048802,2.597,0.048014,0.011991,0.013892,0.362538,8.752213,121.2015,2.185119,115.0808,
8192, 64, 524288, 16, 200,169.0000,656.1200,0.9000,0.128603,3.823164,0.116177,4.122794,0.047449,0.039225,0.048802,2.597,0.048014,0.011991,5.557,0.145015,8.752213,121.2015,2.185119,115.0808,
16384, 32, 524288, 16, 1000,319.9000,328.3100,0.9000,0.337179,9.792891,0.307948,10.659958,0.047372,0.036213,0.048722,2.377,0.047943,8.982,0.028172,0.46924,4.754649,63.666532,1.151943,57.786295,
16384, 32, 524288, 16, 500,319.9000,328.3100,0.9000,0.168589,4.896445,0.153974,5.329979,0.047372,0.036213,0.048722,2.377,0.047943,8.982,0.014086,0.23462,4.754649,63.666532,1.151943,57.786295,
16384, 32, 524288, 16, 200,319.9000,328.3100,0.9000,0.067436,1.958578,0.06159,2.131992,0.047372,0.036213,0.048722,2.377,0.047943,8.982,5.634,0.093848,4.754649,63.666532,1.151943,57.786295,
16384, 32, 524288, 32, 1000,169.0000,656.1200,0.9000,0.576797,19.032532,0.550049,19.689889,0.047449,0.038658,0.048802,2.558,0.048014,0.011424,0.024649,0.77593,7.939741,123.2385,2.233328,114.1399,
16384, 32, 524288, 32, 500,169.0000,656.1200,0.9000,0.288398,9.516266,0.275024,9.844944,0.047449,0.038658,0.048802,2.558,0.048014,0.011424,0.012325,0.387965,7.939741,123.2385,2.233328,114.1399,
16384, 32, 524288, 32, 200,169.0000,656.1200,0.9000,0.115359,3.806506,0.11001,3.937978,0.047449,0.038658,0.048802,2.558,0.048014,0.011424,4.930,0.155186,7.939741,123.2385,2.233328,114.1399,
32768, 16, 524288, 32, 1000,319.9000,328.3100,0.9000,0.298331,9.72286,0.279276,10.088714,0.047372,0.035929,0.048722,2.357,0.047943,8.698,0.02328,0.439976,4.728701,64.34883,1.124487,57.34349,
32768, 16, 524288, 32, 500,319.9000,328.3100,0.9000,0.149166,4.86143,0.139638,5.044357,0.047372,0.035929,0.048722,2.357,0.047943,8.698,0.01164,0.219988,4.728701,64.34883,1.124487,57.34349,
32768, 16, 524288, 32, 200,319.9000,328.3100,0.9000,0.059666,1.944572,0.055855,2.017743,0.047372,0.035929,0.048722,2.357,0.047943,8.698,4.656,0.087995,4.728701,64.34883,1.124487,57.34349,
8192, 128, 1048576, 8, 1000,326.9200,656.1200,0.9000,0.807198,20.197899,0.716334,23.757269,0.094795,0.073668,0.097492,4.853,0.095933,0.019207,0.06192,1.104399,12.75453,129.69385,2.105385,117.0887,
8192, 128, 1048576, 8, 500,326.9200,656.1200,0.9000,0.403599,10.09895,0.358167,11.878635,0.094795,0.073668,0.097492,4.853,0.095933,0.019207,0.03096,0.5522,12.75453,129.69385,2.105385,117.0887,
8192, 128, 1048576, 8, 200,326.9200,656.1200,0.9000,0.16144,4.03958,0.143267,4.751454,0.094795,0.073668,0.097492,4.853,0.095933,0.019207,0.012384,0.22088,12.75453,129.69385,2.105385,117.0887,
16384, 64, 1048576, 16, 1000,326.9200,656.1200,0.9000,0.658238,19.89765,0.601025,21.535148,0.094795,0.072901,0.097492,4.788,0.095933,0.01844,0.041336,1.186156,9.495039,127.846,2.185119,115.0808,
16384, 64, 1048576, 16, 500,326.9200,656.1200,0.9000,0.329119,9.948825,0.300513,10.767574,0.094795,0.072901,0.097492,4.788,0.095933,0.01844,0.020668,0.593078,9.495039,127.846,2.185119,115.0808,
16384, 64, 1048576, 16, 200,326.9200,656.1200,0.9000,0.131648,3.97953,0.120205,4.30703,0.094795,0.072901,0.097492,4.788,0.095933,0.01844,8.267,0.237231,9.495039,127.846,2.185119,115.0808,
32768, 32, 1048576, 32, 1000,326.9200,656.1200,0.9000,0.584503,19.697566,0.545821,20.432073,0.094795,0.072334,0.097492,4.749,0.095933,0.017873,0.031574,1.118065,9.450467,128.94695,2.233328,114.1399,
32768, 32, 1048576, 32, 500,326.9200,656.1200,0.9000,0.292252,9.848783,0.27291,10.216037,0.094795,0.072334,0.097492,4.749,0.095933,0.017873,0.015787,0.559032,9.450467,128.94695,2.233328,114.1399,
32768, 32, 1048576, 32, 200,326.9200,656.1200,0.9000,0.116901,3.939513,0.109164,4.086415,0.094795,0.072334,0.097492,4.749,0.095933,0.017873,6.315,0.223613,9.450467,128.94695,2.233328,114.1399,
