Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_8_OUT_32_clk_400,8,32,400,38,192,113.702,2697.980,784890.473,787588.453
accumulator_IN_8_OUT_32_clk_500,8,32,500,93,218,109.711,2611.495,646660.839,649272.334
accumulator_IN_8_OUT_32_clk_550,8,32,550,36,158,105.054,2436.514,567817.417,570253.931
accumulator_IN_8_OUT_32_clk_600,8,32,600,62,144,101.848,2278.589,507894.485,510173.074
accumulator_IN_8_OUT_32_clk_650,8,32,650,41,138,100.578,2282.194,467189.790,469471.983
accumulator_IN_8_OUT_32_clk_700,8,32,700,51,133,98.703,2180.152,436694.079,438874.232
accumulator_IN_8_OUT_32_clk_750,8,32,750,94,123,96.224,2082.984,399601.331,401684.315
accumulator_IN_8_OUT_32_clk_800,8,32,800,140,120,95.800,2090.437,374736.520,376826.958
accumulator_IN_16_OUT_32_clk_200,16,32,200,0,287,135.899,3372.740,1741395.681,1744768.421
accumulator_IN_16_OUT_32_clk_300,16,32,300,3,249,117.150,2817.045,1012952.542,1015769.586
accumulator_IN_16_OUT_32_clk_400,16,32,400,36,187,115.456,2778.297,768073.245,770851.541
accumulator_IN_16_OUT_32_clk_500,16,32,500,71,206,108.985,2496.572,640949.796,643446.368
accumulator_IN_16_OUT_32_clk_550,16,32,550,54,148,104.751,2387.962,566722.361,569110.324
accumulator_IN_16_OUT_32_clk_600,16,32,600,121,176,103.784,2298.984,537960.254,540259.238
accumulator_IN_16_OUT_32_clk_650,16,32,650,159,175,103.179,2258.169,504967.306,507225.475
accumulator_IN_16_OUT_32_clk_700,16,32,700,82,122,98.099,2093.911,440157.011,442250.922
accumulator_IN_16_OUT_32_clk_750,16,32,750,85,114,96.284,2050.322,411871.449,413921.771
accumulator_IN_16_OUT_32_clk_800,16,32,800,122,113,95.377,1988.304,386336.140,388324.444
accumulator_IN_24_OUT_32_clk_200,24,32,200,0,301,142.249,3505.576,1793284.973,1796790.549
accumulator_IN_24_OUT_32_clk_300,24,32,300,1,241,116.605,2691.085,1005426.039,1008117.124
accumulator_IN_24_OUT_32_clk_400,24,32,400,19,216,111.646,2531.160,756279.696,758810.856
accumulator_IN_24_OUT_32_clk_500,24,32,500,65,197,108.864,2478.299,639263.285,641741.584
accumulator_IN_24_OUT_32_clk_550,24,32,550,75,188,107.352,2455.136,596095.400,598550.536
