Mult Type,Signed/Unsigned,Activation Precision (bits),Weight Precision,Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW),Performance Factor
16,16,signed,4,2,35823,22628.834,529158.458,2703248.219,3232406.677
16,16,signed,2,2,6493,5816.483,117720.096,586454.920,704175.016
8,8,signed,16,16,32761,23638.124,488831.598,4034833.097,4523664.695
8,8,signed,16,8,63861,38073.732,867764.905,6405172.926,7272937.831
8,8,signed,16,4,103555,62781.990,1433375.019,9911802.976,11345177.995
8,8,signed,16,2,185524,101090.566,2478747.215,16181544.208,18660291.423
8,8,signed,8,8,12764,8708.515,194310.533,1345948.909,1540259.442
8,8,signed,8,4,22462,14437.907,327303.896,1843956.303,2171260.199
8,8,signed,8,2,41638,23827.366,570372.285,3230657.655,3801029.941
8,8,signed,4,4,4589,3259.207,68000.834,437366.607,505367.441
8,8,signed,4,2,8508,5547.226,130759.625,652970.072,783729.697
8,8,signed,2,2,1582,1351.607,27298.651,145883.676,173182.327
4,4,signed,16,16,8593,6133.458,126794.166,1052118.572,1178912.738
4,4,signed,16,8,15753,9607.369,220626.919,1624502.839,1845129.758
4,4,signed,16,4,25344,15628.576,358521.996,2476792.489,2835314.485
4,4,signed,16,2,45894,25114.622,619251.337,3997138.945,4616390.282
4,4,signed,8,8,3163,2254.452,49418.804,316504.638,365923.442
4,4,signed,8,4,5643,3668.717,82669.286,453121.917,535791.203
4,4,signed,8,2,10269,5953.228,143403.460,811034.829,954438.289
4,4,signed,4,4,1145,834.987,17406.834,107166.900,124573.734
4,4,signed,4,2,2070,1392.068,32213.642,162541.454,194755.096
4,4,signed,2,2,402,334.515,6736.734,35276.668,42013.402
2,2,signed,16,16,2374,1658.785,34362.853,289997.572,324360.425
2,2,signed,16,8,4043,2499.457,57118.554,422457.335,479575.889
2,2,signed,16,4,6372,3967.851,90686.999,624423.042,715110.041
2,2,signed,16,2,11292,6216.739,154977.693,990860.347,1145838.039
2,2,signed,8,8,846,614.840,13265.723,84320.388,97586.111
2,2,signed,8,4,1440,960.422,21427.186,123226.046,144653.232
2,2,signed,8,2,2597,1511.032,36358.295,214408.840,250767.135
2,2,signed,4,4,312,234.783,4984.040,30642.305,35626.345
2,2,signed,4,2,545,370.621,8562.045,42699.843,51261.888
2,2,signed,2,2,162,101.485,2015.344,11221.147,13236.491
1,1,signed,16,16,712,481.300,9949.110,79739.211,89688.321
1,1,signed,16,8,1060,675.864,15249.321,107842.768,123092.089
1,1,signed,16,4,1607,1019.693,23347.752,147469.780,170817.532
1,1,signed,16,2,2799,1544.175,38721.824,255467.290,294189.113
1,1,signed,8,8,249,184.222,3896.582,24936.826,28833.407
1,1,signed,8,4,382,265.689,5838.127,32151.238,37989.364
1,1,signed,8,2,655,393.906,9404.758,57130.674,66535.433
1,1,signed,4,4,94,74.814,1567.207,7309.821,8877.028
1,1,signed,4,2,149,105.477,2372.393,12362.582,14734.975
1,1,signed,2,2,37,32.659,637.407,3302.224,3939.631
