Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
4x4-bit temporal mult,signed,16,34,4,4,400,0,341,187.911,4954.990,1071390.791,1076345.781
4x4-bit temporal mult,signed,16,34,4,4,500,0,313,174.061,4232.321,827764.563,831996.884
4x4-bit temporal mult,signed,16,34,4,4,550,1,271,164.627,3769.801,753287.385,757057.186
4x4-bit temporal mult,signed,16,34,4,4,600,0,260,162.147,3776.817,709577.776,713354.592
4x4-bit temporal mult,signed,16,34,4,4,650,47,304,161.542,3598.650,672116.558,675715.208
4x4-bit temporal mult,signed,16,34,4,4,700,50,282,158.095,3423.764,620628.888,624052.652
4x4-bit temporal mult,signed,16,34,4,4,750,84,287,158.700,3462.472,608583.901,612046.373
4x4-bit temporal mult,signed,16,34,4,4,800,97,281,157.369,3398.833,578195.935,581594.768
4x2-bit temporal mult,signed,16,34,4,2,200,0,531,287.522,8545.449,3479099.463,3487644.912
4x2-bit temporal mult,signed,16,34,4,2,300,0,428,189.907,4784.887,1385915.336,1390700.223
4x2-bit temporal mult,signed,16,34,4,2,400,0,320,174.182,4547.786,985157.281,989705.067
4x2-bit temporal mult,signed,16,34,4,2,500,0,279,159.425,3914.930,764990.000,768904.931
4x2-bit temporal mult,signed,16,34,4,2,550,0,262,155.252,3766.173,700984.249,704750.422
4x2-bit temporal mult,signed,16,34,4,2,600,0,297,152.107,3506.934,656878.196,660385.130
4x2-bit temporal mult,signed,16,34,4,2,650,10,252,148.902,3371.555,592289.998,595661.554
4x2-bit temporal mult,signed,16,34,4,2,700,69,275,147.450,3250.209,572516.215,575766.424
4x2-bit temporal mult,signed,16,34,4,2,750,13,233,144.608,3188.024,519961.422,523149.447
4x2-bit temporal mult,signed,16,34,4,2,800,102,274,146.724,3213.148,514177.034,517390.182
2x2-bit temporal mult,signed,16,34,2,2,200,0,468,239.440,7015.110,2206237.643,2213252.753
2x2-bit temporal mult,signed,16,34,2,2,300,0,348,163.175,4108.961,1121348.262,1125457.223
2x2-bit temporal mult,signed,16,34,2,2,400,0,273,154.284,3744.672,884169.367,887914.038
2x2-bit temporal mult,signed,16,34,2,2,500,1,234,143.096,3312.405,691535.137,694847.542
2x2-bit temporal mult,signed,16,34,2,2,550,2,235,140.193,3182.116,603813.958,606996.074
2x2-bit temporal mult,signed,16,34,2,2,600,34,253,136.987,2993.825,558834.291,561828.116
2x2-bit temporal mult,signed,16,34,2,2,650,41,218,136.261,2988.881,530324.838,533313.720
2x2-bit temporal mult,signed,16,34,2,2,700,108,242,134.931,2918.550,495961.288,498879.838
2x2-bit temporal mult,signed,16,34,2,2,750,126,246,135.536,2970.786,474802.748,477773.533
2x2-bit temporal mult,signed,16,34,2,2,800,141,241,134.205,2898.941,450086.708,452985.649
16x16-bit temporal mult,signed,16,35,16,16,200,-117,2021,1086.100,45271.478,5525953.276,5571224.754
16x16-bit temporal mult,signed,16,35,16,16,300,-12,2051,1129.766,48047.235,6689585.489,6737632.724
16x16-bit temporal mult,signed,16,35,16,16,400,0,1254,627.540,19470.068,3484549.722,3504019.790
16x16-bit temporal mult,signed,16,35,16,16,500,0,1014,522.184,14504.988,2736053.785,2750558.774
16x16-bit temporal mult,signed,16,35,16,16,550,0,920,481.481,12189.064,2421562.494,2433751.558
16x16-bit temporal mult,signed,16,35,16,16,600,0,918,475.736,11683.360,2299270.683,2310954.042
16x16-bit temporal mult,signed,16,35,16,16,650,0,882,462.672,11154.516,2164720.331,2175874.846
16x16-bit temporal mult,signed,16,35,16,16,700,0,870,457.047,10942.201,2062920.826,2073863.027
16x16-bit temporal mult,signed,16,35,16,16,750,0,843,454.931,10889.868,1979613.847,1990503.715
16x16-bit temporal mult,signed,16,35,16,16,800,1,828,449.185,10591.060,1894886.010,1905477.070
16x8-bit temporal mult,signed,16,35,16,8,200,-93,1505,827.608,33232.188,6398111.993,6431344.181
16x8-bit temporal mult,signed,16,35,16,8,300,0,1474,774.386,29410.858,5231849.475,5261260.333
16x8-bit temporal mult,signed,16,35,16,8,400,0,796,419.550,11763.967,2427929.332,2439693.299
16x8-bit temporal mult,signed,16,35,16,8,500,0,650,361.852,9284.006,1852157.050,1861441.057
16x8-bit temporal mult,signed,16,35,16,8,550,0,610,353.082,9155.221,1756607.344,1765762.566
16x8-bit temporal mult,signed,16,35,16,8,600,1,614,322.298,8074.695,1676093.403,1684168.098
16x8-bit temporal mult,signed,16,35,16,8,650,0,599,324.657,8346.905,1617619.877,1625966.781
16x8-bit temporal mult,signed,16,35,16,8,700,0,556,306.634,7450.628,1491633.359,1499083.987
16x8-bit temporal mult,signed,16,35,16,8,750,0,594,307.843,7430.501,1456072.532,1463503.033
16x8-bit temporal mult,signed,16,35,16,8,800,2,579,303.549,7181.768,1395458.160,1402639.928
16x4-bit temporal mult,signed,16,35,16,4,200,-64,1115,609.517,22653.141,4970822.220,4993475.361
16x4-bit temporal mult,signed,16,35,16,4,300,0,965,472.349,15622.696,3296578.905,3312201.602
16x4-bit temporal mult,signed,16,35,16,4,400,0,586,292.844,8032.197,1743347.646,1751379.843
16x4-bit temporal mult,signed,16,35,16,4,500,0,506,272.704,7216.630,1451491.806,1458708.436
16x4-bit temporal mult,signed,16,35,16,4,550,0,475,260.790,6224.349,1329983.291,1336207.641
16x4-bit temporal mult,signed,16,35,16,4,600,0,447,254.318,6107.228,1247643.669,1253750.897
16x4-bit temporal mult,signed,16,35,16,4,650,0,433,244.158,5905.490,1170403.178,1176308.668
16x4-bit temporal mult,signed,16,35,16,4,700,0,459,248.512,5812.872,1136878.555,1142691.427
16x4-bit temporal mult,signed,16,35,16,4,750,0,408,236.961,5143.269,1010188.338,1015331.606
16x4-bit temporal mult,signed,16,35,16,4,800,6,403,235.328,5015.439,971400.476,976415.914
16x2-bit temporal mult,signed,16,35,16,2,200,-50,971,500.109,18051.666,4234785.937,4252837.602
16x2-bit temporal mult,signed,16,35,16,2,300,0,754,359.977,11426.292,2429490.595,2440916.887
16x2-bit temporal mult,signed,16,35,16,2,400,0,526,243.795,6689.274,1480658.453,1487347.727
16x2-bit temporal mult,signed,16,35,16,2,500,0,437,224.986,5736.251,1199836.195,1205572.446
16x2-bit temporal mult,signed,16,35,16,2,550,0,462,232.122,6159.522,1183081.402,1189240.924
16x2-bit temporal mult,signed,16,35,16,2,600,1,395,211.620,5157.740,994364.158,999521.898
16x2-bit temporal mult,signed,16,35,16,2,650,0,368,208.596,4929.853,948417.136,953346.989
16x2-bit temporal mult,signed,16,35,16,2,700,0,401,204.725,4779.792,890453.493,895233.285
16x2-bit temporal mult,signed,16,35,16,2,750,0,357,197.528,4477.870,840367.447,844845.317
16x2-bit temporal mult,signed,16,35,16,2,800,1,356,196.862,4422.195,796769.965,801192.161
8x8-bit temporal mult,signed,16,35,8,8,200,-79,1084,601.171,23603.912,5422345.705,5445949.617
8x8-bit temporal mult,signed,16,35,8,8,300,0,869,444.044,15595.481,3060886.530,3076482.011
8x8-bit temporal mult,signed,16,35,8,8,400,0,574,290.848,7847.184,1654218.666,1662065.850
8x8-bit temporal mult,signed,16,35,8,8,500,0,458,259.036,6493.497,1313180.626,1319674.124
8x8-bit temporal mult,signed,16,35,8,8,550,1,451,250.690,5831.536,1198363.223,1204194.759
8x8-bit temporal mult,signed,16,35,8,8,600,0,445,241.739,5879.169,1202427.101,1208306.270
8x8-bit temporal mult,signed,16,35,8,8,650,0,388,235.872,5186.314,1019902.114,1025088.429
8x8-bit temporal mult,signed,16,35,8,8,700,1,388,228.252,5117.441,1045838.343,1050955.783
8x8-bit temporal mult,signed,16,35,8,8,750,0,418,225.469,4981.583,998863.758,1003845.341
8x8-bit temporal mult,signed,16,35,8,8,800,50,416,225.167,4921.945,960891.663,965813.608
8x4-bit temporal mult,signed,16,35,8,4,200,-58,849,458.983,16874.339,3959495.836,3976370.175
8x4-bit temporal mult,signed,16,35,8,4,300,0,662,325.382,10438.439,2218978.734,2229417.173
8x4-bit temporal mult,signed,16,35,8,4,400,0,466,233.332,6250.672,1361119.078,1367369.750
8x4-bit temporal mult,signed,16,35,8,4,500,0,395,214.099,5332.930,1085916.372,1091249.302
8x4-bit temporal mult,signed,16,35,8,4,550,1,356,202.668,4802.418,981095.748,985898.166
8x4-bit temporal mult,signed,16,35,8,4,600,0,351,199.342,4664.487,907747.263,912411.749
8x4-bit temporal mult,signed,16,35,8,4,650,0,319,194.020,4377.099,845407.220,849784.319
8x4-bit temporal mult,signed,16,35,8,4,700,60,347,191.661,4212.497,802053.242,806265.739
8x4-bit temporal mult,signed,16,35,8,4,750,6,334,188.819,4081.426,752380.029,756461.455
8x4-bit temporal mult,signed,16,35,8,4,800,0,290,185.553,4056.686,703084.165,707140.850
8x2-bit temporal mult,signed,16,35,8,2,200,-46,914,454.810,16559.007,3209919.257,3226478.265
8x2-bit temporal mult,signed,16,35,8,2,300,0,695,321.391,9954.767,1999716.110,2009670.877
8x2-bit temporal mult,signed,16,35,8,2,400,0,423,198.435,5046.495,1174709.650,1179756.145
8x2-bit temporal mult,signed,16,35,8,2,500,0,355,189.907,4633.678,935426.750,940060.428
8x2-bit temporal mult,signed,16,35,8,2,550,0,329,182.589,4328.564,850416.058,854744.622
8x2-bit temporal mult,signed,16,35,8,2,600,0,319,178.839,4100.204,791549.901,795650.105
8x2-bit temporal mult,signed,16,35,8,2,650,24,344,175.876,3871.824,745659.582,749531.406
8x2-bit temporal mult,signed,16,35,8,2,700,60,333,173.759,3822.745,696157.833,699980.578
8x2-bit temporal mult,signed,16,35,8,2,750,125,332,173.517,3793.090,675775.161,679568.251
8x2-bit temporal mult,signed,16,35,8,2,800,1,271,166.864,3583.314,610785.287,614368.601
4x4-bit temporal mult,signed,16,35,4,4,200,-35,681,368.565,12651.558,4117555.321,4130206.879
4x4-bit temporal mult,signed,16,35,4,4,300,0,537,254.197,7459.277,1778145.150,1785604.428
4x4-bit temporal mult,signed,16,35,4,4,400,0,354,194.806,5149.524,1139766.271,1144915.795
4x4-bit temporal mult,signed,16,35,4,4,500,2,311,176.360,4243.915,870412.720,874656.635
4x4-bit temporal mult,signed,16,35,4,4,550,0,286,172.247,4048.093,817888.994,821937.087
4x4-bit temporal mult,signed,16,35,4,4,600,0,271,169.888,3984.761,765798.755,769783.516
4x4-bit temporal mult,signed,16,35,4,4,650,1,262,164.989,3781.374,706322.505,710103.879
4x4-bit temporal mult,signed,16,35,4,4,700,92,296,163.719,3645.534,671684.944,675330.477
4x4-bit temporal mult,signed,16,35,4,4,750,38,282,160.514,3456.432,620017.125,623473.557
4x4-bit temporal mult,signed,16,35,4,4,800,10,237,157.067,3374.006,563478.869,566852.875
4x2-bit temporal mult,signed,16,35,4,2,200,0,584,293.207,8633.921,2950657.459,2959291.379
4x2-bit temporal mult,signed,16,35,4,2,300,0,456,197.286,4997.274,1433057.964,1438055.239
4x2-bit temporal mult,signed,16,35,4,2,400,0,322,172.066,4352.919,1013998.226,1018351.145
4x2-bit temporal mult,signed,16,35,4,2,500,0,289,162.026,3866.979,779059.514,782926.493
4x2-bit temporal mult,signed,16,35,4,2,550,0,283,161.663,3901.655,746492.379,750394.035
4x2-bit temporal mult,signed,16,35,4,2,600,45,314,156.825,3577.377,691535.248,695112.625
4x2-bit temporal mult,signed,16,35,4,2,650,19,307,155.252,3539.246,634549.493,638088.739
4x2-bit temporal mult,signed,16,35,4,2,700,34,290,152.833,3420.605,587436.073,590856.678
4x2-bit temporal mult,signed,16,35,4,2,750,39,277,149.990,3275.695,551474.541,554750.236
4x2-bit temporal mult,signed,16,35,4,2,800,2,232,146.604,3207.781,498449.314,501657.094
2x2-bit temporal mult,signed,16,35,2,2,200,0,491,247.666,7203.258,2402481.503,2409684.761
2x2-bit temporal mult,signed,16,35,2,2,300,0,392,177.146,4410.015,1243254.172,1247664.187
2x2-bit temporal mult,signed,16,35,2,2,400,0,291,159.183,3913.675,890362.609,894276.284
2x2-bit temporal mult,signed,16,35,2,2,500,0,258,150.051,3495.631,718509.034,722004.665
2x2-bit temporal mult,signed,16,35,2,2,550,0,246,147.269,3330.586,645289.027,648619.613
2x2-bit temporal mult,signed,16,35,2,2,600,0,266,142.188,3143.088,597235.944,600379.031
2x2-bit temporal mult,signed,16,35,2,2,650,1,222,140.495,3127.422,545569.471,548696.892
2x2-bit temporal mult,signed,16,35,2,2,700,67,257,140.435,3070.525,515100.769,518171.294
2x2-bit temporal mult,signed,16,35,2,2,750,72,244,137.592,2950.070,490170.357,493120.427
2x2-bit temporal mult,signed,16,35,2,2,800,29,200,134.326,2852.678,445143.732,447996.410
16x16-bit temporal mult,signed,16,36,16,16,200,-129,1903,1021.810,42359.996,4255020.753,4297380.750
16x16-bit temporal mult,signed,16,36,16,16,300,-20,2035,1124.505,47696.248,6740757.767,6788454.015
16x16-bit temporal mult,signed,16,36,16,16,400,0,1244,638.124,19697.561,3555714.936,3575412.497
16x16-bit temporal mult,signed,16,36,16,16,500,0,1010,535.006,15131.164,2803637.340,2818768.504
16x16-bit temporal mult,signed,16,36,16,16,550,0,1017,518.314,13591.933,2588047.857,2601639.790
16x16-bit temporal mult,signed,16,36,16,16,600,0,924,480.756,12152.155,2326029.764,2338181.919
16x16-bit temporal mult,signed,16,36,16,16,650,0,886,470.655,11690.281,2190632.691,2202322.972
16x16-bit temporal mult,signed,16,36,16,16,700,0,882,463.156,11185.882,2076085.322,2087271.204
16x16-bit temporal mult,signed,16,36,16,16,750,0,865,460.253,10947.389,1995034.072,2005981.461
16x16-bit temporal mult,signed,16,36,16,16,800,3,889,456.805,10787.688,1915468.436,1926256.124
16x8-bit temporal mult,signed,16,36,16,8,200,-96,1463,818.899,33407.950,6619437.122,6652845.072
16x8-bit temporal mult,signed,16,36,16,8,300,0,1492,808.860,31556.566,5499211.046,5530767.612
16x8-bit temporal mult,signed,16,36,16,8,400,0,772,411.687,11377.228,2349996.087,2361373.315
16x8-bit temporal mult,signed,16,36,16,8,500,0,644,366.025,9744.710,1873908.440,1883653.150
16x8-bit temporal mult,signed,16,36,16,8,550,0,615,347.941,8263.770,1665797.013,1674060.783
16x8-bit temporal mult,signed,16,36,16,8,600,0,602,348.788,8633.750,1654097.354,1662731.104
16x8-bit temporal mult,signed,16,36,16,8,650,0,609,322.661,8364.076,1635987.197,1644351.273
16x8-bit temporal mult,signed,16,36,16,8,700,0,592,314.315,7700.934,1520368.543,1528069.477
16x8-bit temporal mult,signed,16,36,16,8,750,1,617,315.282,7758.304,1493433.452,1501191.756
16x8-bit temporal mult,signed,16,36,16,8,800,0,598,312.621,7660.509,1430242.051,1437902.560
16x4-bit temporal mult,signed,16,36,16,4,200,-69,1235,662.316,25063.148,5601439.353,5626502.500
16x4-bit temporal mult,signed,16,36,16,4,300,0,917,457.955,15096.267,3214096.082,3229192.349
16x4-bit temporal mult,signed,16,36,16,4,400,0,578,290.606,7566.545,1699623.020,1707189.565
16x4-bit temporal mult,signed,16,36,16,4,500,0,493,269.076,6668.339,1423378.643,1430046.982
16x4-bit temporal mult,signed,16,36,16,4,550,0,477,259.822,6077.523,1302773.145,1308850.668
16x4-bit temporal mult,signed,16,36,16,4,600,0,463,261.092,6433.963,1258958.730,1265392.694
16x4-bit temporal mult,signed,16,36,16,4,650,1,439,247.847,6004.767,1187350.034,1193354.800
16x4-bit temporal mult,signed,16,36,16,4,700,1,504,253.169,6410.849,1173647.136,1180057.984
16x4-bit temporal mult,signed,16,36,16,4,750,0,399,239.077,5715.737,1056640.807,1062356.543
16x4-bit temporal mult,signed,16,36,16,4,800,0,429,238.231,5648.468,1022760.763,1028409.231
16x2-bit temporal mult,signed,16,36,16,2,200,-56,969,498.476,18303.857,3941756.152,3960060.009
16x2-bit temporal mult,signed,16,36,16,2,300,0,772,367.960,11960.895,2451973.916,2463934.811
16x2-bit temporal mult,signed,16,36,16,2,400,0,567,253.351,6983.254,1541771.758,1548755.012
16x2-bit temporal mult,signed,16,36,16,2,500,0,489,226.921,5746.915,1205023.430,1210770.344
16x2-bit temporal mult,signed,16,36,16,2,550,0,440,227.223,5648.956,1126307.052,1131956.008
16x2-bit temporal mult,signed,16,36,16,2,600,0,417,220.933,5468.788,1058437.040,1063905.828
16x2-bit temporal mult,signed,16,36,16,2,650,0,415,221.720,5599.416,1013716.725,1019316.141
16x2-bit temporal mult,signed,16,36,16,2,700,0,435,214.644,5118.454,942603.057,947721.511
16x2-bit temporal mult,signed,16,36,16,2,750,0,379,204.483,4800.675,849921.249,854721.924
16x2-bit temporal mult,signed,16,36,16,2,800,0,362,200.249,4492.207,812363.062,816855.269
8x8-bit temporal mult,signed,16,36,8,8,200,-79,1176,651.007,25245.143,5514037.738,5539282.881
8x8-bit temporal mult,signed,16,36,8,8,300,0,1047,523.757,18471.726,3548302.842,3566774.568
8x8-bit temporal mult,signed,16,36,8,8,400,0,613,329.676,9789.918,1875769.876,1885559.794
8x8-bit temporal mult,signed,16,36,8,8,500,0,480,270.043,6877.479,1356941.904,1363819.383
8x8-bit temporal mult,signed,16,36,8,8,550,1,435,249.601,5716.345,1185206.032,1190922.377
8x8-bit temporal mult,signed,16,36,8,8,600,0,413,243.492,5378.349,1107742.956,1113121.305
8x8-bit temporal mult,signed,16,36,8,8,650,1,393,240.589,5341.972,1045487.275,1050829.246
8x8-bit temporal mult,signed,16,36,8,8,700,2,395,231.336,5154.707,1050578.302,1055733.009
8x8-bit temporal mult,signed,16,36,8,8,750,0,417,229.824,5140.890,1020157.545,1025298.435
8x8-bit temporal mult,signed,16,36,8,8,800,49,423,229.159,5081.583,978180.065,983261.648
8x4-bit temporal mult,signed,16,36,8,4,200,-62,828,450.576,16428.998,3802584.450,3819013.449
8x4-bit temporal mult,signed,16,36,8,4,300,0,675,331.612,10526.098,2286930.781,2297456.879
8x4-bit temporal mult,signed,16,36,8,4,400,0,485,244.460,6564.075,1428475.190,1435039.265
8x4-bit temporal mult,signed,16,36,8,4,500,0,411,222.566,5573.234,1113557.780,1119131.013
8x4-bit temporal mult,signed,16,36,8,4,550,0,374,211.015,5168.632,1032579.327,1037747.960
8x4-bit temporal mult,signed,16,36,8,4,600,0,344,201.701,4595.076,925162.321,929757.397
8x4-bit temporal mult,signed,16,36,8,4,650,1,327,199.524,4640.869,868096.489,872737.357
8x4-bit temporal mult,signed,16,36,8,4,700,0,349,196.016,4474.200,832872.798,837346.998
8x4-bit temporal mult,signed,16,36,8,4,750,105,350,194.746,4272.533,781257.554,785530.087
8x4-bit temporal mult,signed,16,36,8,4,800,117,348,194.504,4268.144,747787.697,752055.841
8x2-bit temporal mult,signed,16,36,8,2,200,-44,885,458.076,15799.597,3170625.638,3186425.236
8x2-bit temporal mult,signed,16,36,8,2,300,0,698,318.004,9731.431,2025259.229,2034990.660
8x2-bit temporal mult,signed,16,36,8,2,400,0,437,226.437,6225.428,1280353.200,1286578.629
8x2-bit temporal mult,signed,16,36,8,2,500,0,370,196.076,4852.657,970352.677,975205.333
8x2-bit temporal mult,signed,16,36,8,2,550,0,347,187.790,4457.069,883164.205,887621.274
8x2-bit temporal mult,signed,16,36,8,2,600,0,329,183.315,4215.780,808141.760,812357.540
8x2-bit temporal mult,signed,16,36,8,2,650,3,357,180.593,4092.615,748260.527,752353.142
8x2-bit temporal mult,signed,16,36,8,2,700,56,347,179.081,3998.165,718323.190,722321.355
8x2-bit temporal mult,signed,16,36,8,2,750,105,336,176.783,3868.727,677865.140,681733.867
8x2-bit temporal mult,signed,16,36,8,2,800,153,335,176.723,3858.013,648677.787,652535.800
4x4-bit temporal mult,signed,16,36,4,4,200,-36,691,375.581,13183.176,3185479.932,3198663.107
4x4-bit temporal mult,signed,16,36,4,4,300,0,529,255.528,7579.822,1802603.933,1810183.755
4x4-bit temporal mult,signed,16,36,4,4,400,0,366,204.241,5579.415,1193355.027,1198934.441
4x4-bit temporal mult,signed,16,36,4,4,500,1,306,177.993,4222.630,896462.120,900684.751
4x4-bit temporal mult,signed,16,36,4,4,550,1,314,179.444,4255.433,848635.892,852891.325
4x4-bit temporal mult,signed,16,36,4,4,600,0,286,175.090,4199.512,798187.631,802387.143
4x4-bit temporal mult,signed,16,36,4,4,650,0,264,168.618,3857.700,707987.762,711845.462
4x4-bit temporal mult,signed,16,36,4,4,700,54,306,167.772,3709.655,694721.238,698430.892
4x4-bit temporal mult,signed,16,36,4,4,750,53,281,163.538,3571.789,631625.197,635196.986
4x4-bit temporal mult,signed,16,36,4,4,800,92,287,164.506,3608.544,615534.481,619143.025
4x2-bit temporal mult,signed,16,36,4,2,200,0,612,320.484,9753.825,2842676.751,2852430.575
4x2-bit temporal mult,signed,16,36,4,2,300,0,462,202.003,5075.312,1486408.246,1491483.558
4x2-bit temporal mult,signed,16,36,4,2,400,0,376,177.751,4508.481,1030532.100,1035040.581
4x2-bit temporal mult,signed,16,36,4,2,500,0,294,168.558,4054.449,819537.730,823592.179
4x2-bit temporal mult,signed,16,36,4,2,550,0,300,170.009,4157.532,782784.030,786941.562
4x2-bit temporal mult,signed,16,36,4,2,600,52,314,159.728,3589.776,702731.907,706321.683
4x2-bit temporal mult,signed,16,36,4,2,650,14,313,159.062,3646.480,650357.916,654004.397
4x2-bit temporal mult,signed,16,36,4,2,700,2,255,155.131,3504.637,592749.354,596253.991
4x2-bit temporal mult,signed,16,36,4,2,750,52,278,153.256,3363.004,566143.664,569506.667
4x2-bit temporal mult,signed,16,36,4,2,800,111,282,153.619,3392.145,537885.716,541277.861
2x2-bit temporal mult,signed,16,36,2,2,200,-0,544,279.176,8220.094,3470359.750,3478579.844
2x2-bit temporal mult,signed,16,36,2,2,300,0,418,185.129,4608.607,1312034.065,1316642.672
2x2-bit temporal mult,signed,16,36,2,2,400,0,304,169.042,4357.336,948519.110,952876.446
2x2-bit temporal mult,signed,16,36,2,2,500,0,271,157.369,3742.120,719156.426,722898.546
2x2-bit temporal mult,signed,16,36,2,2,550,0,252,151.079,3478.585,666380.275,669858.860
2x2-bit temporal mult,signed,16,36,2,2,600,0,291,148.902,3403.478,626862.020,630265.498
2x2-bit temporal mult,signed,16,36,2,2,650,38,277,146.422,3256.246,586930.080,590186.326
2x2-bit temporal mult,signed,16,36,2,2,700,69,278,145.757,3222.098,548005.274,551227.371
2x2-bit temporal mult,signed,16,36,2,2,750,21,226,142.309,3106.137,504824.144,507930.281
2x2-bit temporal mult,signed,16,36,2,2,800,36,208,138.378,2981.566,460380.119,463361.684
16x16-bit temporal mult,signed,16,37,16,16,200,-121,1968,1079.991,44986.221,5655415.974,5700402.195
16x16-bit temporal mult,signed,16,37,16,16,300,-17,2062,1153.051,48784.310,6882595.252,6931379.562
16x16-bit temporal mult,signed,16,37,16,16,400,0,1303,650.704,20692.182,3631097.073,3651789.254
16x16-bit temporal mult,signed,16,37,16,16,500,0,1112,572.383,16976.325,2933869.092,2950845.417
16x16-bit temporal mult,signed,16,37,16,16,550,0,1005,524.604,14269.909,2612251.259,2626521.168
16x16-bit temporal mult,signed,16,37,16,16,600,0,927,479.969,11827.090,2317758.367,2329585.457
16x16-bit temporal mult,signed,16,37,16,16,650,0,914,479.244,11667.977,2202289.481,2213957.458
16x16-bit temporal mult,signed,16,37,16,16,700,0,891,469.748,11260.327,2097280.944,2108541.271
16x16-bit temporal mult,signed,16,37,16,16,750,0,871,463.579,11090.324,2014198.951,2025289.275
16x16-bit temporal mult,signed,16,37,16,16,800,0,884,460.434,10931.077,1921034.637,1931965.714
16x8-bit temporal mult,signed,16,37,16,8,200,-110,1592,873.392,34994.068,7013749.574,7048743.642
16x8-bit temporal mult,signed,16,37,16,8,300,0,1631,843.636,31726.149,5713846.058,5745572.207
16x8-bit temporal mult,signed,16,37,16,8,400,0,817,419.308,11159.657,2437964.380,2449124.037
16x8-bit temporal mult,signed,16,37,16,8,500,0,688,384.350,10083.536,1951920.383,1962003.918
16x8-bit temporal mult,signed,16,37,16,8,550,0,616,357.255,9216.423,1757696.246,1766912.669
16x8-bit temporal mult,signed,16,37,16,8,600,0,602,342.801,7899.421,1585771.865,1593671.286
16x8-bit temporal mult,signed,16,37,16,8,650,0,605,326.350,8166.463,1631302.492,1639468.955
16x8-bit temporal mult,signed,16,37,16,8,700,0,610,326.592,8303.897,1574269.745,1582573.642
16x8-bit temporal mult,signed,16,37,16,8,750,1,633,319.576,7858.688,1517444.985,1525303.673
16x8-bit temporal mult,signed,16,37,16,8,800,0,563,311.472,7758.536,1427180.010,1434938.546
16x4-bit temporal mult,signed,16,37,16,4,200,-76,1208,615.626,22228.804,5504621.040,5526849.844
16x4-bit temporal mult,signed,16,37,16,4,300,0,1003,478.820,15941.968,3377752.235,3393694.203
16x4-bit temporal mult,signed,16,37,16,4,400,0,669,313.347,8490.984,1885592.464,1894083.447
16x4-bit temporal mult,signed,16,37,16,4,500,0,518,281.172,7244.923,1481100.887,1488345.810
16x4-bit temporal mult,signed,16,37,16,4,550,1,482,266.959,6491.421,1359422.165,1365913.585
16x4-bit temporal mult,signed,16,37,16,4,600,0,460,262.907,6312.033,1290900.795,1297212.829
16x4-bit temporal mult,signed,16,37,16,4,650,1,472,256.375,6270.485,1225962.158,1232232.643
16x4-bit temporal mult,signed,16,37,16,4,700,0,433,250.871,6186.859,1144382.485,1150569.344
16x4-bit temporal mult,signed,16,37,16,4,750,0,383,242.767,5274.812,1008667.718,1013942.530
16x4-bit temporal mult,signed,16,37,16,4,800,0,413,243.069,5296.025,996548.420,1001844.445
16x2-bit temporal mult,signed,16,37,16,2,200,-59,975,519.584,18525.902,3913736.833,3932262.735
16x2-bit temporal mult,signed,16,37,16,2,300,0,779,366.388,11602.191,2484568.422,2496170.614
16x2-bit temporal mult,signed,16,37,16,2,400,0,567,265.326,7217.787,1575375.561,1582593.348
16x2-bit temporal mult,signed,16,37,16,2,500,0,445,230.671,5815.201,1218605.220,1224420.421
16x2-bit temporal mult,signed,16,37,16,2,550,0,427,227.405,5581.499,1138359.148,1143940.648
16x2-bit temporal mult,signed,16,37,16,2,600,0,435,231.880,6093.192,1130693.395,1136786.588
16x2-bit temporal mult,signed,16,37,16,2,650,1,410,222.990,5682.597,1024825.878,1030508.475
16x2-bit temporal mult,signed,16,37,16,2,700,0,369,212.103,4976.253,920481.302,925457.555
16x2-bit temporal mult,signed,16,37,16,2,750,2,338,204.241,4660.969,833272.284,837933.252
16x2-bit temporal mult,signed,16,37,16,2,800,0,360,207.991,4979.322,836103.689,841083.010
8x8-bit temporal mult,signed,16,37,8,8,200,-83,1185,630.081,23950.469,5524688.297,5548638.767
8x8-bit temporal mult,signed,16,37,8,8,300,0,988,502.165,17752.641,3452914.208,3470666.849
8x8-bit temporal mult,signed,16,37,8,8,400,0,579,293.933,7655.170,1691588.818,1699243.988
8x8-bit temporal mult,signed,16,37,8,8,500,0,498,278.027,7076.979,1384280.553,1391357.531
8x8-bit temporal mult,signed,16,37,8,8,550,0,459,263.451,6724.558,1282249.964,1288974.522
8x8-bit temporal mult,signed,16,37,8,8,600,0,445,256.859,6115.070,1182673.899,1188788.968
8x8-bit temporal mult,signed,16,37,8,8,650,0,411,245.851,5474.085,1076293.094,1081767.179
8x8-bit temporal mult,signed,16,37,8,8,700,0,441,246.819,5954.736,1138344.678,1144299.414
8x8-bit temporal mult,signed,16,37,8,8,750,0,435,235.751,5297.348,1043863.317,1049160.665
8x8-bit temporal mult,signed,16,37,8,8,800,23,440,234.965,5231.831,1006234.207,1011466.037
8x4-bit temporal mult,signed,16,37,8,4,200,-71,837,444.649,15927.337,3848174.729,3864102.066
8x4-bit temporal mult,signed,16,37,8,4,300,0,686,342.922,10984.462,2375134.817,2386119.279
