Mult Type,Signed/Unsigned,Max supported precision (bits),Accumulator width (bits),Activation Precision (bits),Weight Precision (bits),Clock delay (ps),Slack (ps),Cell usage,Area,Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
8x4-bit temporal mult,signed,16,32,8,4,500,0,370,197.346,4785.156,970786.901,975572.057
8x4-bit temporal mult,signed,16,32,8,4,550,1,347,190.210,4531.294,899707.364,904238.658
8x4-bit temporal mult,signed,16,32,8,4,600,0,326,185.069,4211.883,826880.929,831092.812
8x4-bit temporal mult,signed,16,32,8,4,650,20,332,180.956,3954.704,785941.512,789896.216
8x4-bit temporal mult,signed,16,32,8,4,700,0,281,175.876,3862.629,713355.388,717218.017
8x4-bit temporal mult,signed,16,32,8,4,750,2,278,176.057,4008.213,693143.675,697151.888
8x4-bit temporal mult,signed,16,32,8,4,800,0,265,172.247,3845.985,656301.731,660147.717
8x2-bit temporal mult,signed,16,32,8,2,200,-38,789,413.260,14523.634,3388879.502,3403403.136
8x2-bit temporal mult,signed,16,32,8,2,300,0,617,277.664,8111.012,1754223.283,1762334.295
8x2-bit temporal mult,signed,16,32,8,2,400,0,421,192.084,5076.997,1095102.283,1100179.280
8x2-bit temporal mult,signed,16,32,8,2,500,0,327,174.787,4191.002,857072.756,861263.758
8x2-bit temporal mult,signed,16,32,8,2,550,0,300,169.344,3973.846,780997.739,784971.585
8x2-bit temporal mult,signed,16,32,8,2,600,1,289,166.683,3957.277,728194.892,732152.168
8x2-bit temporal mult,signed,16,32,8,2,650,30,328,164.929,3675.964,687816.021,691491.985
8x2-bit temporal mult,signed,16,32,8,2,700,0,267,158.760,3505.840,611596.034,615101.875
8x2-bit temporal mult,signed,16,32,8,2,750,0,260,157.550,3565.051,588315.924,591880.976
8x2-bit temporal mult,signed,16,32,8,2,800,0,253,155.917,3588.155,559593.264,563181.419
4x4-bit temporal mult,signed,16,32,4,4,200,-25,652,350.724,12161.910,3750776.022,3762937.932
4x4-bit temporal mult,signed,16,32,4,4,300,0,461,229.159,6794.977,1650516.481,1657311.458
4x4-bit temporal mult,signed,16,32,4,4,400,0,315,172.731,4379.879,965114.869,969494.749
4x4-bit temporal mult,signed,16,32,4,4,500,0,270,159.667,3773.589,777781.963,781555.552
4x4-bit temporal mult,signed,16,32,4,4,550,0,261,159.365,3768.294,724283.894,728052.188
4x4-bit temporal mult,signed,16,32,4,4,600,2,253,153.135,3423.930,657405.197,660829.127
4x4-bit temporal mult,signed,16,32,4,4,650,68,284,153.317,3396.121,637195.552,640591.673
4x4-bit temporal mult,signed,16,32,4,4,700,22,235,148.357,3215.611,577394.939,580610.551
4x4-bit temporal mult,signed,16,32,4,4,750,0,226,146.966,3257.956,543771.891,547029.847
4x4-bit temporal mult,signed,16,32,4,4,800,0,219,145.092,3194.271,520967.628,524161.900
4x2-bit temporal mult,signed,16,32,4,2,200,0,487,249.057,7255.585,2611293.291,2618548.876
4x2-bit temporal mult,signed,16,32,4,2,300,0,413,182.892,4651.996,1327140.675,1331792.671
4x2-bit temporal mult,signed,16,32,4,2,400,0,348,160.091,4040.661,930114.128,934154.789
