Shifter
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
shifter_IN_1_OUT_16_clk_550,1,16,550,466,21,6.774,190.409,29541.368,29731.776
shifter_IN_1_OUT_16_clk_600,1,16,600,516,21,6.774,190.451,28422.668,28613.120
shifter_IN_1_OUT_16_clk_650,1,16,650,566,21,6.774,190.297,26183.071,26373.368
shifter_IN_1_OUT_16_clk_700,1,16,700,616,21,6.774,190.204,24282.443,24472.647
shifter_IN_1_OUT_16_clk_750,1,16,750,666,21,6.774,189.973,22785.435,22975.408
shifter_IN_1_OUT_16_clk_800,1,16,800,716,21,6.774,189.560,20403.283,20592.843
shifter_IN_2_OUT_16_clk_200,2,16,200,140,32,9.919,264.842,114752.085,115016.927
shifter_IN_2_OUT_16_clk_300,2,16,300,240,32,9.919,280.357,74535.047,74815.404
shifter_IN_2_OUT_16_clk_400,2,16,400,340,32,9.919,280.528,61924.427,62204.954
shifter_IN_2_OUT_16_clk_500,2,16,500,440,32,9.919,280.775,52290.413,52571.187
shifter_IN_2_OUT_16_clk_550,2,16,550,490,32,9.919,280.237,48920.081,49200.317
shifter_IN_2_OUT_16_clk_600,2,16,600,540,32,9.919,280.377,45248.587,45528.964
shifter_IN_2_OUT_16_clk_650,2,16,650,590,32,9.919,280.121,42727.444,43007.565
shifter_IN_2_OUT_16_clk_700,2,16,700,640,32,9.919,280.628,39948.222,40228.850
shifter_IN_2_OUT_16_clk_750,2,16,750,690,32,9.919,280.467,37874.125,38154.592
shifter_IN_2_OUT_16_clk_800,2,16,800,740,32,9.919,280.455,34911.428,35191.884
shifter_IN_4_OUT_16_clk_200,4,16,200,122,46,14.697,406.521,161705.393,162111.914
shifter_IN_4_OUT_16_clk_300,4,16,300,223,46,14.697,403.465,110150.298,110553.763
shifter_IN_4_OUT_16_clk_400,4,16,400,323,46,14.697,403.402,92237.203,92640.604
shifter_IN_4_OUT_16_clk_500,4,16,500,423,46,14.697,403.943,78433.149,78837.091
shifter_IN_4_OUT_16_clk_550,4,16,550,473,46,14.697,403.676,73745.351,74149.027
shifter_IN_4_OUT_16_clk_600,4,16,600,523,46,14.697,403.420,69649.614,70053.034
shifter_IN_4_OUT_16_clk_650,4,16,650,573,46,14.697,402.998,65461.460,65864.458
shifter_IN_4_OUT_16_clk_700,4,16,700,623,46,14.697,403.558,60963.721,61367.279
shifter_IN_4_OUT_16_clk_750,4,16,750,673,46,14.697,403.761,58534.590,58938.351
shifter_IN_4_OUT_16_clk_800,4,16,800,723,46,14.697,403.849,54699.141,55102.989
shifter_IN_8_OUT_16_clk_200,8,16,200,120,55,17.358,458.135,190333.550,190791.685
shifter_IN_8_OUT_16_clk_300,8,16,300,219,55,17.358,449.927,149135.263,149585.190
shifter_IN_8_OUT_16_clk_400,8,16,400,319,55,17.358,449.433,125209.587,125659.020
shifter_IN_8_OUT_16_clk_500,8,16,500,419,55,17.358,449.864,106315.272,106765.136
shifter_IN_8_OUT_16_clk_550,8,16,550,469,55,17.358,449.414,99987.897,100437.311
shifter_IN_8_OUT_16_clk_600,8,16,600,519,55,17.358,449.498,94479.725,94929.222
shifter_IN_8_OUT_16_clk_650,8,16,650,569,55,17.358,450.002,87222.859,87672.860
shifter_IN_8_OUT_16_clk_700,8,16,700,619,55,17.358,449.713,82853.141,83302.853
shifter_IN_8_OUT_16_clk_750,8,16,750,669,55,17.358,449.869,77563.847,78013.716
shifter_IN_8_OUT_16_clk_800,8,16,800,719,55,17.358,449.765,74582.923,75032.688
shifter_IN_1_OUT_32_clk_200,1,32,200,106,45,13.366,341.653,195609.276,195950.929
shifter_IN_1_OUT_32_clk_300,1,32,300,206,45,13.366,336.799,94656.843,94993.642
shifter_IN_1_OUT_32_clk_400,1,32,400,306,45,13.366,336.951,77315.078,77652.029
shifter_IN_1_OUT_32_clk_500,1,32,500,406,45,13.366,337.177,66302.742,66639.920
shifter_IN_1_OUT_32_clk_550,1,32,550,456,45,13.366,336.796,59823.846,60160.642
shifter_IN_1_OUT_32_clk_600,1,32,600,506,45,13.366,336.861,57683.612,58020.473
shifter_IN_1_OUT_32_clk_650,1,32,650,556,45,13.366,336.967,53159.928,53496.894
shifter_IN_1_OUT_32_clk_700,1,32,700,606,45,13.366,336.667,49437.606,49774.273
shifter_IN_1_OUT_32_clk_750,1,32,750,656,45,13.366,336.314,46600.382,46936.697
shifter_IN_1_OUT_32_clk_800,1,32,800,706,45,13.366,336.036,42045.348,42381.384
shifter_IN_2_OUT_32_clk_200,2,32,200,128,57,16.995,413.851,191176.639,191590.490
shifter_IN_2_OUT_32_clk_300,2,32,300,227,57,16.995,425.024,126945.910,127370.934
shifter_IN_2_OUT_32_clk_400,2,32,400,327,57,16.995,425.921,106263.886,106689.808
shifter_IN_2_OUT_32_clk_500,2,32,500,427,57,16.995,425.894,89344.383,89770.277
shifter_IN_2_OUT_32_clk_550,2,32,550,477,57,16.995,424.965,83910.021,84334.986
shifter_IN_2_OUT_32_clk_600,2,32,600,527,57,16.995,426.144,78541.641,78967.785
