Synchronous Register
name,Synchronous/Asynchronous,Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
register_sync_width_56_clk_650,Synchronous,56,650,540,169,91.688,1537.567,490963.110,492500.677
register_sync_width_56_clk_700,Synchronous,56,700,590,169,91.688,1530.586,459514.876,461045.462
register_sync_width_56_clk_750,Synchronous,56,750,640,169,91.688,1534.199,431389.675,432923.874
register_sync_width_56_clk_800,Synchronous,56,800,690,169,91.688,1528.742,407952.550,409481.293
register_sync_width_64_clk_200,Synchronous,64,200,81,193,104.751,1787.738,1418517.645,1420305.383
register_sync_width_64_clk_300,Synchronous,64,300,181,193,104.751,1753.102,1071817.361,1073570.463
register_sync_width_64_clk_400,Synchronous,64,400,281,193,104.751,1751.460,848629.900,850381.360
register_sync_width_64_clk_500,Synchronous,64,500,381,193,104.751,1752.613,706028.755,707781.369
register_sync_width_64_clk_550,Synchronous,64,550,431,193,104.751,1753.339,651180.030,652933.369
register_sync_width_64_clk_600,Synchronous,64,600,481,193,104.751,1749.845,601125.674,602875.519
register_sync_width_64_clk_650,Synchronous,64,650,531,193,104.751,1752.494,562512.249,564264.742
register_sync_width_64_clk_700,Synchronous,64,700,581,193,104.751,1750.339,525932.653,527682.992
register_sync_width_64_clk_750,Synchronous,64,750,631,193,104.751,1749.064,495492.852,497241.916
register_sync_width_64_clk_800,Synchronous,64,800,681,193,104.751,1753.360,467599.351,469352.711
Asynchronous Register
name,Synchronous/Asynchronous,Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
register_async_width_8_clk_200,Asynchronous,8,200,136,8,13.064,173.596,183511.196,183684.793
register_async_width_8_clk_300,Asynchronous,8,300,236,8,13.064,173.652,125420.951,125594.603
register_async_width_8_clk_400,Asynchronous,8,400,336,8,13.064,173.640,94118.514,94292.154
register_async_width_8_clk_500,Asynchronous,8,500,436,8,13.064,173.567,75379.713,75553.280
register_async_width_8_clk_550,Asynchronous,8,550,486,8,13.064,173.596,68437.097,68610.693
register_async_width_8_clk_600,Asynchronous,8,600,536,8,13.064,173.614,62833.860,63007.474
register_async_width_8_clk_650,Asynchronous,8,650,586,8,13.064,173.602,57959.393,58132.994
register_async_width_8_clk_700,Asynchronous,8,700,636,8,13.064,173.581,53816.647,53990.228
register_async_width_8_clk_750,Asynchronous,8,750,686,8,13.064,173.608,50283.573,50457.181
register_async_width_8_clk_800,Asynchronous,8,800,736,8,13.064,173.615,47126.068,47299.683
register_async_width_16_clk_200,Asynchronous,16,200,136,16,26.127,347.214,366786.913,367134.127
register_async_width_16_clk_300,Asynchronous,16,300,236,16,26.127,347.242,250580.287,250927.529
register_async_width_16_clk_400,Asynchronous,16,400,336,16,26.127,347.259,188074.082,188421.342
register_async_width_16_clk_500,Asynchronous,16,500,436,16,26.127,347.243,150548.398,150895.640
register_async_width_16_clk_550,Asynchronous,16,550,486,16,26.127,347.239,136840.888,137188.127
register_async_width_16_clk_600,Asynchronous,16,600,536,16,26.127,347.208,125358.342,125705.550
register_async_width_16_clk_650,Asynchronous,16,650,586,16,26.127,347.251,115670.586,116017.838
register_async_width_16_clk_700,Asynchronous,16,700,636,16,26.127,347.203,107364.769,107711.973
register_async_width_16_clk_750,Asynchronous,16,750,686,16,26.127,347.255,100395.385,100742.640
register_async_width_16_clk_800,Asynchronous,16,800,736,16,26.127,347.199,94085.668,94432.867
register_async_width_24_clk_200,Asynchronous,24,200,136,24,39.191,520.813,550116.466,550637.279
register_async_width_24_clk_300,Asynchronous,24,300,236,24,39.191,520.835,375962.607,376483.442
register_async_width_24_clk_400,Asynchronous,24,400,336,24,39.191,520.822,281813.085,282333.907
register_async_width_24_clk_500,Asynchronous,24,500,436,24,39.191,520.816,225427.969,225948.785
register_async_width_24_clk_550,Asynchronous,24,550,486,24,39.191,520.801,205080.636,205601.437
register_async_width_24_clk_600,Asynchronous,24,600,536,24,39.191,520.816,187836.586,188357.401
register_async_width_24_clk_650,Asynchronous,24,650,586,24,39.191,520.859,173363.033,173883.892
register_async_width_24_clk_700,Asynchronous,24,700,636,24,39.191,520.802,160916.913,161437.715
register_async_width_24_clk_750,Asynchronous,24,750,686,24,39.191,520.865,150418.122,150938.987
register_async_width_24_clk_800,Asynchronous,24,800,736,24,39.191,520.848,140833.910,141354.758
register_async_width_32_clk_200,Asynchronous,32,200,136,32,52.255,694.423,733386.254,734080.677
register_async_width_32_clk_300,Asynchronous,32,300,236,32,52.255,694.411,501368.159,502062.569
register_async_width_32_clk_400,Asynchronous,32,400,336,32,52.255,694.557,375885.725,376580.282
register_async_width_32_clk_500,Asynchronous,32,500,436,32,52.255,694.312,300893.718,301588.030
register_async_width_32_clk_550,Asynchronous,32,550,486,32,52.255,694.512,273745.252,274439.764
register_async_width_32_clk_600,Asynchronous,32,600,536,32,52.255,694.550,251047.319,251741.870
register_async_width_32_clk_650,Asynchronous,32,650,586,32,52.255,694.454,231645.057,232339.511
register_async_width_32_clk_700,Asynchronous,32,700,636,32,52.255,694.390,215011.881,215706.271
register_async_width_32_clk_750,Asynchronous,32,750,686,32,52.255,694.447,200633.833,201328.280
register_async_width_32_clk_800,Asynchronous,32,800,736,32,52.255,694.405,188296.397,188990.802
register_async_width_40_clk_200,Asynchronous,40,200,136,40,65.318,868.023,916720.991,917589.014
register_async_width_40_clk_300,Asynchronous,40,300,236,40,65.318,868.070,626983.137,627851.208
register_async_width_40_clk_400,Asynchronous,40,400,336,40,65.318,868.262,470181.126,471049.388
